,DOGE,DOGE,DOGE,DOGE,DOGE,BTC,BTC,BTC,BTC,BTC,XRP,XRP,XRP,XRP,XRP,USDT,USDT,USDT,USDT,USDT,ETH,ETH,ETH,ETH,ETH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-09,0.0012069999938830733,0.0014149999478831887,0.0011810000287368894,0.0014149999478831887,6259550.0,7446.830078125,7446.830078125,7101.52001953125,7143.580078125,3226249984,0.2179110050201416,0.22179099917411804,0.21486599743366241,0.21748800575733185,147916992.0,1.0108699798583984,1.0132700204849243,0.9965149760246277,1.008180022239685,358188000.0,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,893249984.0
2017-11-10,0.001420999993570149,0.0014309999532997608,0.0011249999515712261,0.0011630000080913305,4246520.0,7173.72998046875,7312.0,6436.8701171875,6618.14013671875,5208249856,0.21825599670410156,0.2190680056810379,0.2052599936723709,0.20648300647735596,141032992.0,1.006500005722046,1.0242300033569336,0.9954860210418701,1.0060100555419922,756446016.0,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,885985984.0
2017-11-11,0.001145999995060265,0.0012570000253617764,0.0011409999569877982,0.0012009999481961131,2231080.0,6618.60986328125,6873.14990234375,6204.22021484375,6357.60009765625,4908680192,0.20594799518585205,0.2144560068845749,0.20545899868011475,0.21042999625205994,134503008.0,1.0059800148010254,1.0262099504470825,0.9957990050315857,1.0089900493621826,746227968.0,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,842300992.0
2017-11-12,0.0011889999732375145,0.0012100000167265534,0.0010019999463111162,0.0010379999876022339,3288960.0,6295.4501953125,6625.0498046875,5519.009765625,5950.06982421875,8957349888,0.21021400392055511,0.21021400392055511,0.1953890025615692,0.1973389983177185,251175008.0,1.006019949913025,1.1059099435806274,0.9676010012626648,1.012470006942749,1466060032.0,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,1613479936.0
2017-11-13,0.0010460000485181808,0.0012120000319555402,0.0010189999593421817,0.0012110000243410468,2481270.0,5938.25,6811.18994140625,5844.2900390625,6559.490234375,6263249920,0.1974720060825348,0.2040809988975525,0.1974560022354126,0.20344200730323792,132567000.0,1.004480004310608,1.029289960861206,0.9751030206680298,1.0093499422073364,767884032.0,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,1041889984.0
2017-11-14,0.0012009999481961131,0.0012390000047162175,0.0011309999972581863,0.0011840000515803695,2660340.0,6561.47998046875,6764.97998046875,6461.75,6635.75,3197110016,0.20367899537086487,0.21369299292564392,0.20367899537086487,0.20982499420642853,127361000.0,1.0052399635314941,1.0134299993515015,0.9968979954719543,1.0068299770355225,429857984.0,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,1069680000.0
2017-11-15,0.0011889999732375145,0.0013510000426322222,0.0011790000135079026,0.0013389999512583017,2840180.0,6634.759765625,7342.25,6634.759765625,7315.5400390625,4200880128,0.20893700420856476,0.2131049931049347,0.20805799961090088,0.2129559963941574,100294000.0,1.004580020904541,1.0116300582885742,1.000249981880188,1.0031800270080566,449671008.0,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,722665984.0
2017-11-16,0.001348000019788742,0.001424000016413629,0.0012860000133514404,0.0013899999903514981,3423010.0,7323.240234375,7967.3798828125,7176.580078125,7871.68994140625,5123809792,0.2126549929380417,0.2717899978160858,0.20928700268268585,0.2271070033311844,1022579968.0,1.0058200359344482,1.010890007019043,0.993232011795044,1.002120018005371,650278976.0,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,797254016.0
